SED_IB,Length_ft,BoardFeet
61,25,4330.0
62,25,4460.0
63,25,4590.0
64,25,4720.0
65,25,4850.0
66,25,4980.0
67,25,5110.0
68,25,5240.0
69,25,5370.0
70,25,5500.0
4,26,20.0
5,26,30.0
6,26,30.0
7,26,40.0
8,26,50.0
9,26,60.0
10,26,90.0
11,26,110.0
12,26,130.0
13,26,160.0
14,26,190.0
15,26,230.0
16,26,260.0
17,26,300.0
18,26,350.0
19,26,390.0
20,26,450.0
21,26,490.0
22,26,540.0
23,26,610.0
24,26,660.0
25,26,750.0
26,26,810.0
27,26,890.0
28,26,950.0
29,26,990.0
30,26,1070.0
31,26,1150.0
32,26,1200.0
33,26,1270.0
34,26,1300.0
35,26,1420.0
36,26,1500.0
37,26,1670.0
38,26,1740.0
39,26,1820.0
40,26,1960.0
41,26,2070.0
42,26,2180.0
43,26,2270.0
44,26,2410.0
45,26,2470.0
46,26,2580.0
47,26,2690.0
48,26,2810.0
49,26,2920.0
50,26,3040.0
51,26,3160.0
52,26,3290.0
53,26,3420.0
54,26,3550.0
55,26,3680.0
56,26,3820.0
57,26,3960.0
58,26,4100.0
59,26,4250.0
60,26,4390.0
61,26,4510.0
62,26,4640.0
63,26,4780.0
64,26,4910.0
65,26,5050.0
66,26,5190.0
67,26,5320.0
68,26,5460.0
69,26,5590.0
70,26,5730.0
4,27,20.0
5,27,30.0
6,27,30.0
7,27,40.0
8,27,50.0
9,27,70.0
10,27,100.0
11,27,110.0
12,27,130.0
13,27,160.0
14,27,190.0
15,27,240.0
16,27,270.0
17,27,310.0
18,27,360.0
19,27,400.0
20,27,470.0
21,27,510.0
22,27,560.0
23,27,630.0
24,27,680.0
25,27,770.0
26,27,840.0
27,27,920.0
28,27,980.0
29,27,1030.0
30,27,1110.0
31,27,1200.0
32,27,1240.0
33,27,1320.0
34,27,1350.0
35,27,1480.0
36,27,1560.0
37,27,1740.0
38,27,1800.0
39,27,1890.0
40,27,2030.0
41,27,2150.0
42,27,2270.0
43,27,2350.0
44,27,2500.0
45,27,2560.0
46,27,2680.0
47,27,2790.0
48,27,2920.0
49,27,3030.0
50,27,3160.0
51,27,3280.0
52,27,3420.0
53,27,3550.0
54,27,3690.0
55,27,3820.0
56,27,3970.0
57,27,4110.0
58,27,4260.0
59,27,4410.0
60,27,4560.0
61,27,4680.0
62,27,4820.0
63,27,4960.0
64,27,5100.0
65,27,5240.0
66,27,5380.0
67,27,5520.0
68,27,5660.0
69,27,5800.0
70,27,5940.0
4,28,20.0
5,28,30.0
6,28,30.0
7,28,50.0
8,28,50.0
9,28,70.0
10,28,100.0
11,28,120.0
12,28,140.0
13,28,170.0
14,28,200.0
15,28,250.0
16,28,280.0
17,28,320.0
18,28,370.0
19,28,420.0
20,28,490.0
21,28,530.0
22,28,580.0
23,28,660.0
24,28,710.0
25,28,800.0
26,28,870.0
27,28,960.0
28,28,1020.0
29,28,1070.0
30,28,1150.0
31,28,1240.0
32,28,1290.0
33,28,1370.0
34,28,1400.0
35,28,1530.0
36,28,1610.0
37,28,1800.0
38,28,1870.0
39,28,1960.0
40,28,2110.0
41,28,2230.0
42,28,2350.0
43,28,2440.0
44,28,2590.0
45,28,2660.0
46,28,2770.0
47,28,2900.0
48,28,3020.0
49,28,3140.0
50,28,3280.0
51,28,3410.0
52,28,3540.0
53,28,3680.0
54,28,3820.0
55,28,3970.0
56,28,4110.0
57,28,4260.0
58,28,4420.0
59,28,4570.0
60,28,4730.0
61,28,4850.0
62,28,5000.0
63,28,5140.0
64,28,5290.0
65,28,5430.0
66,28,5580.0
67,28,5720.0
68,28,5870.0
69,28,6010.0
70,28,6160.0
4,29,20.0
5,29,30.0
6,29,40.0
7,29,50.0
8,29,50.0
9,29,70.0
10,29,100.0
11,29,120.0
12,29,140.0
13,29,180.0
14,29,210.0
15,29,260.0
16,29,290.0
17,29,330.0
18,29,390.0
19,29,430.0
20,29,510.0
21,29,550.0
22,29,610.0
23,29,680.0
24,29,730.0
25,29,830.0
26,29,910.0
27,29,990.0
28,29,1050.0
29,29,1100.0
30,29,1190.0
31,29,1290.0
32,29,1330.0
33,29,1420.0
34,29,1450.0
35,29,1590.0
36,29,1670.0
37,29,1870.0
38,29,1940.0
39,29,2030.0
40,29,2180.0
41,29,2300.0
42,29,2430.0
43,29,2530.0
44,29,2680.0
45,29,2750.0
46,29,2870.0
47,29,3000.0
48,29,3130.0
49,29,3260.0
50,29,3390.0
51,29,3530.0
52,29,3670.0
53,29,3810.0
54,29,3960.0
55,29,4110.0
56,29,4260.0
57,29,4410.0
58,29,4570.0
59,29,4740.0
60,29,4900.0
61,29,5030.0
62,29,5180.0
63,29,5330.0
64,29,5480.0
65,29,5630.0
66,29,5780.0
67,29,5930.0
68,29,6080.0
69,29,6230.0
70,29,6380.0
4,30,20.0
5,30,30.0
6,30,40.0
7,30,50.0
8,30,60.0
9,30,70.0
10,30,110.0
11,30,130.0
12,30,150.0
13,30,180.0
14,30,210.0
15,30,270.0
16,30,300.0
17,30,350.0
18,30,400.0
19,30,450.0
20,30,520.0
21,30,570.0
22,30,630.0
23,30,710.0
24,30,760.0
25,30,860.0
26,30,940.0
27,30,1030.0
28,30,1090.0
29,30,1140.0
30,30,1230.0
31,30,1330.0
32,30,1380.0
33,30,1470.0
34,30,1500.0
